Date,Product,Category,Region,Quantity,Unit_Price,Total_Sales,Customer_Type
2024-01-15,Laptop,Electronics,North,5,899.99,4499.95,Business
2024-01-16,Mouse,Accessories,South,15,25.99,389.85,Retail
2024-01-16,Keyboard,Accessories,East,12,45.50,546.00,Retail
2024-01-17,Monitor,Electronics,West,8,299.99,2399.92,Business
2024-01-18,Laptop,Electronics,North,3,899.99,2699.97,Retail
2024-01-19,Headphones,Accessories,South,20,79.99,1599.80,Retail
2024-01-20,Tablet,Electronics,East,6,449.99,2699.94,Business
2024-01-22,Mouse,Accessories,North,25,25.99,649.75,Retail
2024-01-23,Laptop,Electronics,West,4,899.99,3599.96,Business
2024-01-24,Keyboard,Accessories,South,18,45.50,819.00,Retail
2024-01-25,Monitor,Electronics,North,10,299.99,2999.90,Business
2024-01-26,Headphones,Accessories,East,15,79.99,1199.85,Retail
2024-01-27,Tablet,Electronics,West,7,449.99,3149.93,Business
2024-01-29,Mouse,Accessories,South,22,25.99,571.78,Retail
2024-01-30,Laptop,Electronics,North,6,899.99,5399.94,Business
2024-02-01,Keyboard,Accessories,East,14,45.50,637.00,Retail
2024-02-02,Monitor,Electronics,South,9,299.99,2699.91,Business
2024-02-03,Headphones,Accessories,West,18,79.99,1439.82,Retail
2024-02-05,Tablet,Electronics,North,5,449.99,2249.95,Business
2024-02-06,Mouse,Accessories,East,30,25.99,779.70,Retail
2024-02-07,Laptop,Electronics,South,8,899.99,7199.92,Business
2024-02-08,Keyboard,Accessories,West,16,45.50,728.00,Retail
2024-02-09,Monitor,Electronics,North,12,299.99,3599.88,Business
2024-02-10,Headphones,Accessories,South,25,79.99,1999.75,Retail
2024-02-12,Tablet,Electronics,East,9,449.99,4049.91,Business
2024-02-13,Mouse,Accessories,West,28,25.99,727.72,Retail
2024-02-14,Laptop,Electronics,North,7,899.99,6299.93,Business
2024-02-15,Keyboard,Accessories,South,20,45.50,910.00,Retail
2024-02-16,Monitor,Electronics,East,11,299.99,3299.89,Business
2024-02-17,Headphones,Accessories,West,22,79.99,1759.78,Retail
2024-02-19,Tablet,Electronics,North,8,449.99,3599.92,Business
2024-02-20,Mouse,Accessories,South,35,25.99,909.65,Retail
2024-02-21,Laptop,Electronics,East,9,899.99,8099.91,Business
2024-02-22,Keyboard,Accessories,West,19,45.50,864.50,Retail
2024-02-23,Monitor,Electronics,North,13,299.99,3899.87,Business
2024-02-24,Headphones,Accessories,South,27,79.99,2159.73,Retail
2024-02-26,Tablet,Electronics,East,10,449.99,4499.90,Business
2024-02-27,Mouse,Accessories,West,32,25.99,831.68,Retail
2024-02-28,Laptop,Electronics,North,10,899.99,8999.90,Business
2024-03-01,Keyboard,Accessories,South,21,45.50,955.50,Retail
2024-03-02,Monitor,Electronics,East,14,299.99,4199.86,Business
2024-03-03,Headphones,Accessories,West,30,79.99,2399.70,Retail
2024-03-05,Tablet,Electronics,North,11,449.99,4949.89,Business
2024-03-06,Mouse,Accessories,South,38,25.99,987.62,Retail
2024-03-07,Laptop,Electronics,East,12,899.99,10799.88,Business
2024-03-08,Keyboard,Accessories,West,23,45.50,1046.50,Retail
2024-03-09,Monitor,Electronics,North,15,299.99,4499.85,Business
2024-03-10,Headphones,Accessories,South,33,79.99,2639.67,Retail
2024-03-12,Tablet,Electronics,East,13,449.99,5849.87,Business
2024-03-13,Mouse,Accessories,West,40,25.99,1039.60,Retail
